photo,err_m,margin,boundary,rms_mrad,relief_mrad,verdict
04032011388_01024,354,0.273,0,4.2,12.8,TRUE-ACCEPT
04032011389_01024,1031,0.477,0,3.9,21.1,FALSE-ACCEPT
04032011390_01024,1275,0.407,0,4.5,14.6,FALSE-ACCEPT
04032011391_01024,500,0.045,0,5.7,15.3,CAUGHT
2011-04-30_18.37.52_01024,2250,0.030,1,7.7,38.1,CAUGHT
2011-04-30_18.40.20_01024,1250,0.054,0,9.1,66.4,CAUGHT
2011-10-01_17.13.12_01024,2795,0.019,1,11.2,85.0,CAUGHT
2011-10-01_17.15.04_01024,2151,0.299,0,11.4,105.3,FALSE-ACCEPT
2011-10-01_17.18.26_01024,2151,0.015,0,8.2,59.4,CAUGHT
2011-10-01_17.19.13_01024,2704,0.031,1,9.5,61.0,CAUGHT
2011-10-04_14.25.54_01024,250,0.319,0,6.7,54.1,TRUE-ACCEPT
2011-10-04_14.26.04_01024,0,1.097,0,4.1,41.1,TRUE-ACCEPT
2011-10-04_14.26.13_01024,0,0.128,0,5.2,29.4,OVER-CAUTIOUS
2011-10-04_14.31.44_01024,2151,0.736,0,8.5,39.8,FALSE-ACCEPT
2011-10-04_14.42.53_01024,2016,0.180,0,9.6,57.7,FALSE-ACCEPT
2011-10-04_14.43.05_01024,1500,0.069,0,10.0,56.9,CAUGHT
2011-10-04_14.44.30_01024,3202,0.327,1,9.4,38.4,CAUGHT
2011-10-04_14.48.13_01024,3010,0.218,1,10.1,73.9,CAUGHT
2011-10-04_14.48.49_01024,2693,0.008,1,11.9,49.8,CAUGHT
2011-10-04_14.56.14_01024,2264,0.002,1,11.5,101.5,CAUGHT
2011-10-04_15.06.11_01024,1803,0.139,0,9.2,34.3,CAUGHT
2011-10-04_15.06.31_01024,1118,0.376,0,12.5,123.5,CAUGHT
2011-10-04_15.06.42_01024,1750,0.001,0,9.8,63.9,CAUGHT
2011-10-04_15.09.39_01024,2016,0.119,0,5.8,24.0,CAUGHT
2011-10-04_15.12.05_01024,2062,0.009,0,6.6,30.3,CAUGHT
2011-10-04_15.13.14_01024,3010,0.074,1,19.7,97.7,CAUGHT
2011-10-04_15.15.40_01024,901,0.032,0,17.9,124.3,CAUGHT
2011-10-04_15.19.34_01024,791,0.013,0,7.5,79.0,CAUGHT
2011-10-04_15.20.30_01024,2264,0.010,1,6.1,33.3,CAUGHT
2011-10-04_15.20.38_01024,2250,0.297,1,6.0,29.2,CAUGHT
2011-10-04_15.20.55_01024,1904,0.025,0,5.8,30.8,CAUGHT
