photo,err_m,margin,boundary,rms_mrad,relief_mrad,verdict
04032011388_01024,354,1.124,0,3.9,12.8,TRUE-ACCEPT
04032011389_01024,791,0.515,0,4.7,21.1,FALSE-ACCEPT
04032011390_01024,1346,0.160,0,5.0,14.6,FALSE-ACCEPT
04032011391_01024,791,0.143,0,6.0,15.3,CAUGHT
2011-04-30_18.37.52_01024,250,0.414,0,8.7,38.1,TRUE-ACCEPT
2011-04-30_18.40.20_01024,1521,0.012,0,11.2,66.4,CAUGHT
2011-10-01_17.13.12_01024,3010,0.105,1,13.6,85.0,CAUGHT
2011-10-01_17.15.04_01024,3202,0.487,1,12.9,105.3,CAUGHT
2011-10-01_17.18.26_01024,1581,0.317,0,8.6,59.4,FALSE-ACCEPT
2011-10-01_17.19.13_01024,2850,0.754,1,9.9,61.0,CAUGHT
2011-10-04_14.25.54_01024,0,1.109,0,7.5,54.1,TRUE-ACCEPT
2011-10-04_14.26.04_01024,0,8.431,0,3.9,41.1,TRUE-ACCEPT
2011-10-04_14.26.13_01024,0,5.773,0,5.0,29.4,TRUE-ACCEPT
2011-10-04_14.31.44_01024,2236,1.408,0,14.7,39.8,CAUGHT
2011-10-04_14.42.53_01024,750,0.079,0,10.3,57.7,CAUGHT
2011-10-04_14.43.05_01024,1031,0.128,0,10.1,56.9,CAUGHT
2011-10-04_14.44.30_01024,2693,0.024,1,13.1,38.4,CAUGHT
2011-10-04_14.48.13_01024,3052,0.535,1,11.1,73.9,CAUGHT
2011-10-04_14.48.49_01024,2512,0.023,1,14.9,49.8,CAUGHT
2011-10-04_14.56.14_01024,2016,0.005,0,12.1,101.5,CAUGHT
2011-10-04_15.06.11_01024,2500,0.046,1,14.6,34.3,CAUGHT
2011-10-04_15.06.31_01024,1118,0.129,0,12.3,123.5,CAUGHT
2011-10-04_15.06.42_01024,559,0.246,0,11.0,63.9,FALSE-ACCEPT
2011-10-04_15.09.39_01024,2462,0.015,1,9.8,24.0,CAUGHT
2011-10-04_15.12.05_01024,1581,0.464,0,9.0,30.3,FALSE-ACCEPT
2011-10-04_15.13.14_01024,3202,0.189,1,17.8,97.7,CAUGHT
2011-10-04_15.15.40_01024,901,0.116,0,16.9,124.3,CAUGHT
2011-10-04_15.19.34_01024,901,0.152,0,10.1,79.0,FALSE-ACCEPT
2011-10-04_15.20.30_01024,1677,0.270,0,7.3,33.3,FALSE-ACCEPT
2011-10-04_15.20.38_01024,2236,0.403,0,7.4,29.2,FALSE-ACCEPT
2011-10-04_15.20.55_01024,2475,0.286,0,6.6,30.8,FALSE-ACCEPT
2011-10-04_15.22.47_01024,2136,0.218,0,7.5,19.8,FALSE-ACCEPT
2011-10-04_15.28.13_01024,250,0.156,0,7.6,27.0,TRUE-ACCEPT
2011-10-04_15.46.39_01024,1346,0.344,0,6.9,21.9,FALSE-ACCEPT
2011-10-04_15.48.56_01024,3536,0.138,1,12.8,41.8,CAUGHT
2011-10-04_15.50.30_01024,2372,0.036,1,18.2,121.9,CAUGHT
2011-10-04_15.52.38_01024,2500,0.224,0,7.0,40.9,FALSE-ACCEPT
2011-10-04_16.03.27_01024,2475,0.286,0,9.7,69.8,FALSE-ACCEPT
2011-10-04_16.13.26_01024,3052,0.181,1,7.5,64.6,CAUGHT
2011-10-04_16.20.03_01024,2462,0.202,1,11.4,64.6,CAUGHT
2011-10-04_16.21.36_01024,559,0.042,0,6.4,37.4,CAUGHT
2011-10-06_11.24.33_01024,901,0.251,0,12.2,76.3,CAUGHT
2011-10-06_14.41.52_01024,2462,0.225,1,10.3,56.3,CAUGHT
2011-10-06_14.42.18_01024,3052,0.024,1,19.3,60.7,CAUGHT
2011-10-06_14.42.24_01024,2550,0.065,1,10.0,39.4,CAUGHT
2011-10-06_14.43.20_01024,2693,0.029,1,8.3,53.1,CAUGHT
2011-10-06_15.11.17_01024,2693,0.664,1,7.6,63.1,CAUGHT
2011-10-07_10.26.24_01024,2658,0.264,0,13.2,10.8,CAUGHT
2011-10-07_10.52.05_01024,559,0.654,0,9.2,74.9,FALSE-ACCEPT
2011-10-07_11.01.09_01024,250,0.034,0,12.3,105.8,OVER-CAUTIOUS
2011-10-07_11.37.54_01024,2610,0.061,1,16.7,46.6,CAUGHT
2011-10-07_11.56.32_01024,250,0.025,0,11.0,43.5,OVER-CAUTIOUS
2012-02-18_18.32.18_01024,559,0.996,0,8.0,102.9,FALSE-ACCEPT
DSCF3435_01024,2795,0.025,1,7.1,24.4,CAUGHT
DSCF3436_01024,250,0.545,0,3.8,10.0,TRUE-ACCEPT
DSCF3440_01024,559,0.226,0,2.7,4.9,FALSE-ACCEPT
DSCF3441_01024,1904,0.043,0,5.4,14.9,CAUGHT
DSCF3442_01024,1061,0.026,0,4.7,14.4,CAUGHT
DSCF3452_01024,559,0.402,0,5.2,23.3,FALSE-ACCEPT
DSCF3456_01024,500,1.288,0,4.7,52.3,FALSE-ACCEPT
DSCF3458_01024,354,5.774,0,1.9,24.8,TRUE-ACCEPT
IMG_1820_01024,354,0.084,0,9.9,27.8,OVER-CAUTIOUS
IMG_1821_01024,791,0.005,0,9.9,43.7,CAUGHT
IMG_1838_01024,559,0.003,0,10.4,33.1,CAUGHT
IMG_1840_01024,354,0.241,0,10.5,49.0,TRUE-ACCEPT
IMG_1854_01024,354,1.184,0,4.1,29.4,TRUE-ACCEPT
IMG_1855_01024,2305,0.057,1,20.6,153.9,CAUGHT
IMG_1856_01024,2062,0.367,0,9.5,40.5,FALSE-ACCEPT
IMG_4833_01024,354,1.666,0,4.7,23.7,TRUE-ACCEPT
IMG_4922_01024,0,0.351,0,6.6,22.2,TRUE-ACCEPT
IMG_4923_01024,250,0.376,0,6.7,23.6,TRUE-ACCEPT
IMG_4930_01024,1118,0.038,0,8.7,33.2,CAUGHT
IMG_4948_01024,791,0.176,0,6.5,23.7,FALSE-ACCEPT
IMG_4955_01024,250,0.442,0,5.7,19.7,TRUE-ACCEPT
IMG_4958_01024,3010,0.027,1,9.5,39.8,CAUGHT
IMG_4970_01024,250,0.764,0,5.6,26.5,TRUE-ACCEPT
IMG_4972_01024,707,0.371,0,4.3,24.9,FALSE-ACCEPT
IMG_4985_01024,2795,0.011,1,8.6,30.1,CAUGHT
IMG_4986_01024,250,0.704,0,5.0,13.6,TRUE-ACCEPT
IMG_4999_01024,559,0.871,0,4.5,31.2,FALSE-ACCEPT
IMG_5004_01024,0,0.315,0,7.3,25.8,TRUE-ACCEPT
IMG_5008_01024,354,0.213,0,5.4,25.6,TRUE-ACCEPT
IMG_5011_01024,750,0.705,0,5.1,21.9,FALSE-ACCEPT
IMG_5021_01024,500,0.206,0,6.3,23.5,FALSE-ACCEPT
IMG_5038_01024,250,1.315,0,4.5,38.0,TRUE-ACCEPT
IMG_5039_01024,250,0.282,0,7.1,32.6,TRUE-ACCEPT
IMG_5040_01024,250,0.499,0,6.3,31.5,TRUE-ACCEPT
IMG_5045_01024,707,0.344,0,7.0,63.2,FALSE-ACCEPT
IMG_5046_01024,1953,0.100,0,5.8,13.0,CAUGHT
IMG_5104_01024,2500,0.021,1,10.9,45.6,CAUGHT
IMG_5106_01024,354,0.869,0,5.3,36.2,TRUE-ACCEPT
IMG_5113_01024,250,2.698,0,5.3,29.5,TRUE-ACCEPT
IMG_5114_01024,0,1.498,0,5.9,18.4,TRUE-ACCEPT
IMG_5117_01024,791,0.083,0,7.4,21.1,CAUGHT
IMG_5118_01024,354,0.061,0,8.3,32.8,OVER-CAUTIOUS
IMG_5125_01024,354,0.964,0,4.9,23.6,TRUE-ACCEPT
IMG_5126_01024,559,0.234,0,6.6,19.2,FALSE-ACCEPT
IMG_5128_01024,250,0.965,0,5.2,17.1,TRUE-ACCEPT
IMG_5130_01024,250,2.594,0,4.2,34.8,TRUE-ACCEPT
IMG_5131_01024,354,0.037,0,9.6,20.4,OVER-CAUTIOUS
IMG_5133_01024,901,0.155,0,8.2,34.4,FALSE-ACCEPT
IMG_5141_01024,1000,0.080,0,9.0,24.8,CAUGHT
IMG_5143_01024,3536,0.333,1,8.6,37.2,CAUGHT
IMG_5145_01024,2610,0.058,1,11.4,38.5,CAUGHT
IMG_5153_01024,250,1.018,0,4.7,19.1,TRUE-ACCEPT
IMG_5156_01024,0,0.568,0,6.7,24.8,TRUE-ACCEPT
IMG_5159_01024,500,0.165,0,5.7,18.5,FALSE-ACCEPT
IMG_5178_01024,1904,0.022,0,7.3,25.9,CAUGHT
IMG_5180_01024,3052,0.438,1,8.3,33.3,CAUGHT
IMG_5181_01024,1601,0.310,0,8.9,27.0,FALSE-ACCEPT
IMG_5187_01024,559,0.026,0,3.6,9.7,CAUGHT
IMG_5195_01024,0,0.433,0,4.9,33.2,TRUE-ACCEPT
IMG_5199_01024,559,0.799,0,5.2,20.0,FALSE-ACCEPT
IMG_5200_01024,0,1.119,0,4.7,46.3,TRUE-ACCEPT
IMG_5234_01024,354,2.081,0,4.1,39.5,TRUE-ACCEPT
IMG_5238_01024,559,0.173,0,7.5,31.1,FALSE-ACCEPT
IMG_5239_01024,0,0.974,0,6.5,54.5,TRUE-ACCEPT
IMG_5241_01024,0,1.019,0,8.2,106.4,TRUE-ACCEPT
