photo,err_default,margin_default,dn_default,de_default,err_loose,margin_loose,dn_loose,de_loose,err_strict,margin_strict,dn_strict,de_strict,err_deep,margin_deep,dn_deep,de_deep
04032011388_01024,354,0.497,-250,-250,354,0.307,-250,-250,354,0.324,-250,-250,354,0.536,-250,-250
04032011389_01024,901,0.574,750,-500,791,0.591,750,-250,707,0.185,500,-500,901,0.571,750,-500
04032011390_01024,1250,0.233,0,-1250,1250,0.208,0,-1250,1250,0.182,0,-1250,1250,0.233,0,-1250
04032011391_01024,559,0.206,-250,500,559,0.211,-250,500,559,0.006,250,-500,559,0.205,-250,500
2011-04-30_18.37.52_01024,1458,0.265,-1250,750,1458,0.263,-1250,750,1458,0.210,-1250,750,1458,0.265,-1250,750
2011-04-30_18.40.20_01024,707,0.353,500,-500,1031,0.037,-1000,-250,901,0.439,500,-750,901,0.331,500,-750
2011-10-01_17.13.12_01024,2658,0.042,2000,1750,2658,0.142,2000,1750,2550,0.117,-2500,-500,2658,0.042,2000,1750
2011-10-01_17.15.04_01024,2915,0.283,-1500,-2500,2915,0.282,-1500,-2500,2915,0.269,-1500,-2500,2915,0.283,-1500,-2500
2011-10-01_17.18.26_01024,2500,0.006,0,-2500,2693,0.014,-1000,-2500,2475,0.070,1750,-1750,2500,0.004,0,-2500
2011-10-01_17.19.13_01024,2016,0.461,-1000,-1750,2016,0.454,-1000,-1750,2016,0.330,-1000,-1750,2016,0.462,-1000,-1750
2011-10-04_14.25.54_01024,250,2.004,-250,0,250,1.971,-250,0,2574,0.090,-1250,-2250,250,2.001,-250,0
2011-10-04_14.26.04_01024,0,8.182,0,0,0,7.984,0,0,0,0.180,0,0,0,8.192,0,0
2011-10-04_14.26.13_01024,0,2.170,0,0,0,4.903,0,0,2693,0.053,-2500,1000,0,2.164,0,0
2011-10-04_14.31.44_01024,2136,0.109,-750,2000,2236,0.487,-1000,2000,2136,0.102,-750,2000,2136,0.095,-750,2000
2011-10-04_14.42.53_01024,3052,0.071,1750,2500,2693,0.073,-2500,-1000,3052,0.122,1750,2500,3052,0.032,1750,2500
2011-10-04_14.43.05_01024,3363,0.069,2250,2500,2136,0.170,2000,750,3363,0.104,2250,2500,3363,0.064,2250,2500
2011-10-04_14.44.30_01024,3536,0.089,2500,2500,3536,0.005,2500,2500,2550,0.091,-500,-2500,3536,0.079,2500,2500
2011-10-04_14.48.13_01024,3536,0.060,-2500,-2500,3536,0.010,-2500,-2500,3536,0.103,-2500,-2500,3536,0.059,-2500,-2500
