photo,err_default,margin_default,dn_default,de_default,err_loose,margin_loose,dn_loose,de_loose,err_strict,margin_strict,dn_strict,de_strict,err_deep,margin_deep,dn_deep,de_deep,err_svm,margin_svm,dn_svm,de_svm
04032011389_01024,500,0.279,500,0,500,0.422,500,0,559,0.065,500,-250,500,0.277,500,0,2658,0.187,-1750,-2000
04032011391_01024,791,0.120,-250,750,791,0.133,-250,750,1031,0.023,-250,1000,791,0.124,-250,750,2658,0.130,-1750,-2000
2011-04-30_18.40.20_01024,791,0.244,250,-750,3010,0.028,-2000,-2250,901,0.447,500,-750,791,0.162,250,-750,1275,0.023,1250,250
2011-10-01_17.15.04_01024,2915,0.303,-1500,-2500,2915,0.303,-1500,-2500,2915,0.286,-1500,-2500,2915,0.303,-1500,-2500,2693,0.013,-1000,-2500
2011-10-01_17.19.13_01024,2704,0.183,-1500,-2250,2704,0.177,-1500,-2250,2704,0.173,-1500,-2250,2704,0.186,-1500,-2250,2462,0.120,-1000,-2250
2011-10-04_14.26.04_01024,0,8.696,0,0,0,8.801,0,0,0,0.179,0,0,0,8.710,0,0,0,7.335,0,0
2011-10-04_14.31.44_01024,2136,0.139,-750,2000,2236,0.563,-1000,2000,2136,0.129,-750,2000,2136,0.118,-750,2000,2550,0.043,500,2500
2011-10-04_14.43.05_01024,3363,0.061,2250,2500,1677,0.032,1500,750,3363,0.113,2250,2500,3363,0.053,2250,2500,3010,0.058,-2250,-2000
2011-10-04_14.48.13_01024,3536,0.056,-2500,-2500,3536,0.010,-2500,-2500,3536,0.098,-2500,-2500,3536,0.054,-2500,-2500,2915,0.284,1500,2500
2011-10-04_14.56.14_01024,2062,0.021,-2000,500,2500,0.052,-2500,0,2915,0.105,-2500,1500,2062,0.022,-2000,500,2136,0.030,-750,2000
2011-10-04_15.06.31_01024,1118,0.285,-1000,-500,1118,0.297,-1000,-500,1061,0.084,-750,-750,1118,0.304,-1000,-500,1118,0.617,-1000,-500
2011-10-04_15.09.39_01024,1250,0.462,1250,0,1250,0.411,1250,0,1250,0.450,1250,0,1250,0.462,1250,0,1275,0.155,1250,-250
2011-10-04_15.13.14_01024,3010,0.160,-2000,2250,3010,0.158,-2000,2250,3363,0.111,-2250,2500,3010,0.159,-2000,2250,3363,0.195,-2250,2500
