photo,err_m,margin,boundary,rms_mrad,relief_mrad,verdict
04032011388_01024,354,1.124,0,3.9,12.8,TRUE-ACCEPT
04032011389_01024,791,0.515,0,4.7,21.1,FALSE-ACCEPT
04032011390_01024,1346,0.160,0,5.0,14.6,FALSE-ACCEPT
04032011391_01024,791,0.143,0,6.0,15.3,CAUGHT
2011-04-30_18.37.52_01024,1677,0.287,0,9.8,38.1,FALSE-ACCEPT
2011-04-30_18.40.20_01024,1000,0.835,0,8.4,66.4,FALSE-ACCEPT
2011-10-01_17.13.12_01024,3010,0.154,1,13.6,85.0,CAUGHT
2011-10-01_17.15.04_01024,2574,0.471,1,13.0,105.3,CAUGHT
2011-10-01_17.18.26_01024,2305,0.097,0,13.4,59.4,CAUGHT
2011-10-01_17.19.13_01024,2016,0.276,0,11.9,61.0,FALSE-ACCEPT
2011-10-04_14.25.54_01024,0,1.109,0,7.5,54.1,TRUE-ACCEPT
2011-10-04_14.26.04_01024,0,8.431,0,3.9,41.1,TRUE-ACCEPT
2011-10-04_14.26.13_01024,0,5.773,0,5.0,29.4,TRUE-ACCEPT
