photo,err_m,margin,boundary,rms_mrad,relief_mrad,verdict
04032011388_01024,3536,0.029,1,5.1,12.8,CAUGHT
04032011389_01024,791,0.086,0,4.8,21.1,CAUGHT
04032011390_01024,559,0.005,0,5.0,14.6,CAUGHT
04032011391_01024,2136,0.106,0,4.9,15.3,CAUGHT
2011-04-30_18.37.52_01024,2574,0.003,1,5.2,38.1,CAUGHT
2011-04-30_18.40.20_01024,1581,0.004,0,5.2,66.4,CAUGHT
2011-10-01_17.13.12_01024,2658,0.009,0,5.2,85.0,CAUGHT
2011-10-01_17.15.04_01024,2550,0.038,1,5.4,105.3,CAUGHT
2011-10-01_17.18.26_01024,2500,0.025,1,5.2,59.4,CAUGHT
2011-10-01_17.19.13_01024,1904,0.027,0,5.2,61.0,CAUGHT
2011-10-04_14.25.54_01024,2850,0.002,1,5.2,54.1,CAUGHT
