geniş açı kareleri: 18
id            FOV      z    hdg |    p10    p50    p90  <3km  kara% | karar
LXHP2922    104.3    1.0   20.1 |    1.2    5.4   39.1   45%   100% | ELE
EURK8793    104.3  164.2  164.4 |    4.6    8.6   12.5    0%   100% | GEÇ
GAQB1096    104.3    2.5  212.1 |    4.6    6.0   39.7    0%   100% | GEÇ
UYXQ4404    104.3   18.8   36.5 |    5.5   14.0   26.8    0%   100% | GEÇ
QBPN0150    104.3    1.9   19.6 |    1.3   11.7   39.1   39%   100% | ELE
VSFK5163    104.3   18.3   14.4 |    5.5   14.0   27.0    0%   100% | GEÇ
YBPL9738    104.3   61.2  209.0 |    4.7   19.4   36.1    0%   100% | GEÇ
BZHD7973     73.7    1.0   50.8 |    1.1    1.3    5.4   83%   100% | ELE
QEMM2520     73.7    1.0   33.3 |    1.2    2.6   39.5   60%   100% | ELE
UYKQ7227     73.7    1.6  319.6 |    3.5    6.0   22.3    0%   100% | GEÇ
JKGK0867     73.7    1.7   27.6 |    1.3    3.1   39.6   45%   100% | ELE
FYMC7458     73.7   18.5   80.1 |    5.1   14.6   20.5    4%   100% | GEÇ
HATY3309     73.7   14.2   40.5 |    5.5   10.0   20.1    0%   100% | GEÇ
XRQV0283     73.7   14.0  352.4 |    5.5   25.5   28.1    0%   100% | GEÇ
QMLO5628     73.7   61.4  205.3 |    6.6   20.0   36.9    0%   100% | GEÇ
MJFQ1511     73.7  167.2  165.4 |    4.4    8.4   10.4    0%   100% | GEÇ
NCVO7252     73.7    1.1  299.6 |    3.4    4.3   21.7    0%   100% | GEÇ
XKYU3498     73.7   14.2  355.3 |    5.4   25.3   27.7    0%   100% | GEÇ
SCREEN-DONE
